player,team,yahoo,espn,fantrax,average
AJ Green,MIL,,140.0,1246.8,693.4
AJ Johnson,WAS,,140.0,1298.8,719.4
Aaron Gordon,DEN,107.0,109.4,133.5,116.6
Aaron Nesmith,IND,141.0,139.2,143.8,141.3
Aaron Wiggins,OKC,,140.0,320.9,230.5
Ace Bailey,UTA,133.0,113.8,146.9,131.2
Adem Bona,PHI,,139.9,301.6,220.8
Ajay Mitchell,OKC,,140.0,1295.8,717.9
Al Horford,FA,,139.8,338.5,239.2
Alex Caruso,OKC,120.0,138.1,146.2,134.8
Alex Sarr,WAS,136.0,144.0,,140.0
Alexandre Sarr,WAS,70.3,132.4,79.5,94.1
Alperen Sengun,HOU,28.0,28.0,,28.0
Alperen Sengün,HOU,30.0,30.9,29.7,30.2
Amen Thompson,HOU,35.7,34.8,28.0,32.8
Amir Coffey,FA,,140.0,1277.8,708.9
Andre Drummond,PHI,,139.8,1259.8,699.8
Andre Iguodala,FA,,172.0,,172.0
Andrew Nembhard,IND,81.3,130.5,97.0,102.9
Andrew Wiggins,MIA,108.0,124.6,109.3,114.0
Anfernee Simons,BOS,100.7,104.4,78.0,94.4
Anthony Black,ORL,88.0,139.8,341.3,189.7
Anthony Davis,DAL,9.3,9.6,9.2,9.4
Anthony Edwards,MIN,8.0,6.9,7.7,7.5
Antonio Reeves,CHA,,179.0,,179.0
Ausar Thompson,DET,107.0,112.7,99.0,106.2
Austin Reaves,LAL,58.0,41.9,46.5,48.8
Ayo Dosunmu,CHI,148.0,127.4,142.9,139.4
Bam Adebayo,MIA,35.7,36.2,29.5,33.8
Baylor Scheierman,BOS,,139.8,1272.8,706.3
Ben Sheppard,IND,,140.0,1267.8,703.9
Ben Simmons,FA,,139.7,312.2,226.0
Bennedict Mathurin,IND,94.7,135.7,118.5,116.3
Bilal Coulibaly,WAS,122.0,139.6,118.2,126.6
Blake Griffin,FA,,178.0,,178.0
Boban Marjanovic,FA,,186.0,,186.0
Bobby Portis,MIL,117.0,106.1,122.8,115.3
Bobby Portis Jr.,MIL,121.0,117.0,,119.0
Bogdan Bogdanovic,LAC,,139.9,370.9,255.4
Bojan Bogdanovic,FA,213.0,,,213.0
Bol Bol,FA,,162.0,,162.0
Bradley Beal,LAC,104.7,117.0,101.5,107.7
Brandin Podziemski,GS,124.3,136.3,119.5,126.7
Brandon Clarke,MEM,,140.0,1228.8,684.4
Brandon Ingram,TOR,79.7,85.1,85.5,83.4
Brandon Miller,CHA,55.7,74.5,67.6,65.9
Brandon Williams,DAL,,140.0,393.5,266.8
Brice Sensabaugh,UTA,,139.9,216.9,178.4
Bronny James,LAL,,136.5,297.9,217.2
Brook Lopez,LAC,142.0,123.3,133.3,132.9
Bruce Brown,DEN,,139.9,378.0,259.0
Buddy Hield,GS,,135.4,283.1,209.3
CJ McCollum,WAS,98.0,83.7,102.1,94.6
Cade Cunningham,DET,8.3,11.6,7.3,9.1
Caleb Martin,DAL,203.0,,,203.0
Cam Thomas,BKN,80.0,96.7,97.2,91.3
Cam Whitmore,WAS,156.0,139.9,144.5,146.8
Cameron Johnson,DEN,68.0,106.1,82.8,85.6
Caris LeVert,DET,,137.9,187.6,162.8
Carlton Carrington,WAS,,140.0,133.1,136.6
Cason Wallace,OKC,65.5,139.7,139.6,114.9
Cedric Coward,MEM,,140.0,1199.8,669.9
Chet Holmgren,OKC,29.7,36.7,31.2,32.5
Chris Boucher,BOS,,139.9,347.4,243.7
Chris Paul,LAC,140.3,124.9,142.3,135.8
Christian Braun,DEN,108.3,101.4,86.5,98.7
Clint Capela,HOU,149.0,138.4,1258.8,515.4
Coby White,CHI,19.7,64.0,65.6,49.8
Cody Williams,UTA,,140.0,1296.8,718.4
Cody Zeller,FA,,174.0,,174.0
Cole Anthony,MIL,,139.8,147.8,143.8
Collin Gillespie,PHO,,140.0,1286.8,713.4
